;Andana
CreateMeshBuilder,
AddVertex, 3.1, 1.1, 0,
AddVertex, 7.1, 1.1, 0,
AddVertex, 3.1, 1.1, 2.916,
AddVertex, 7.1, 1.1, 2.916,
AddFace, 2, 3, 1, 0,
GenerateNormals,
LoadTexture, Andana2.png,,,
SetTextureCoordinates,3,0.5,0,
SetTextureCoordinates,1,4,0,
SetTextureCoordinates,2,0.5,1,
SetTextureCoordinates,0,4,1,
SetColor,150,150,150

CreateMeshBuilder,
AddVertex, 3.1, 1.1, 2.916,
AddVertex, 7.1, 1.1, 2.916,
AddVertex, 3.1, 1.1, 25,
AddVertex, 7.1, 1.1, 25,
AddFace, 2, 3, 1, 0,
GenerateNormals,
LoadTexture, Andana.png,,,
SetTextureCoordinates,3,0,0,
SetTextureCoordinates,1,26.5,0,
SetTextureCoordinates,2,0,1,
SetTextureCoordinates,0,26.5,1,
SetColor,150,150,150

CreateMeshBuilder,
AddVertex, 3.1, 0.85, 0,
AddVertex, 3.1, 1.1, 0,
AddVertex, 3.1, 0.85, 25,
AddVertex, 3.1, 1.1, 25,
AddVertex, 4.19, 0.85, 0,
AddVertex, 4.19, 1.1, 0,
AddFace, 2, 3, 1, 0,
AddFace, 0, 1, 5, 4,
GenerateNormals,
LoadTexture, Andana_Vora.png,,,
SetTextureCoordinates,3,0,0,
SetTextureCoordinates,1,30,0,
SetTextureCoordinates,2,0,1,
SetTextureCoordinates,0,30,1,
SetTextureCoordinates,5,31,0,
SetTextureCoordinates,4,31,1,

CreateMeshBuilder,
AddVertex, 3.3, -0.35, 25,
AddVertex, 3.3, 1.1, 25,
AddVertex, 3.3, -0.35, 0.01,
AddVertex, 3.3, 1.1, 0.01,
AddVertex, 4.19, -0.35, 0,
AddVertex, 4.19, 1.1, 0,
AddFace, 0, 1, 3, 2,
AddFace, 2, 3, 5, 4,
GenerateNormals,
LoadTexture, Cables.png,,,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,3,32,0,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,2,32,1,
SetTextureCoordinates,5,33,0,
SetTextureCoordinates,4,33,1,


;Rajola PMR
CreateMeshBuilder,
AddVertex, 5.12, 1.101, 2.916,
AddVertex, 12, 1.101, 2.916,
AddVertex, 5.12, 1.101, 3.33,
AddVertex, 12, 1.101, 3.33,
AddFace, 2, 3, 1, 0,
GenerateNormals,
LoadTexture, Rajola_PMR.png,,,
SetTextureCoordinates,3,17.4,0,
SetTextureCoordinates,1,17.4,1,
SetTextureCoordinates,2,0,0,
SetTextureCoordinates,0,0,1,
SetColor,150,150,150

CreateMeshBuilder,
AddVertex, 12, 1.101, 2.916,
AddVertex, 13.45, 1.101, 2.45,
AddVertex, 12, 1.101, 3.33,
AddVertex, 13.6, 1.101, 2.78,
AddFace, 2, 3, 1, 0,
GenerateNormals,
LoadTexture, Rajola_PMR.png,,,
SetTextureCoordinates,3,-0.2,0,
SetTextureCoordinates,1,0,1,
SetTextureCoordinates,2,4.2,0,
SetTextureCoordinates,0,4,1,
SetColor,150,150,150

CreateMeshBuilder,
AddVertex, 13.45, 1.101, 2.45,
AddVertex, 14.59, 1.101, 1.62,
AddVertex, 13.6, 1.101, 2.78,
AddVertex, 14.85, 1.101, 1.88,
AddFace, 2, 3, 1, 0,
GenerateNormals,
LoadTexture, Rajola_PMR.png,,,
SetTextureCoordinates,3,-0.2,0,
SetTextureCoordinates,1,0,1,
SetTextureCoordinates,2,4.2,0,
SetTextureCoordinates,0,4,1,
SetColor,150,150,150

CreateMeshBuilder,
AddVertex, 14.59, 1.101, 1.62,
AddVertex, 15.42, 1.101, 0.52,
AddVertex, 14.85, 1.101, 1.88,
AddVertex, 15.73, 1.101, 0.69,
AddFace, 2, 3, 1, 0,
GenerateNormals,
LoadTexture, Rajola_PMR.png,,,
SetTextureCoordinates,3,-0.2,0,
SetTextureCoordinates,1,-0.05,1,
SetTextureCoordinates,2,4.2,0,
SetTextureCoordinates,0,4,1,
SetColor,150,150,150

CreateMeshBuilder,
AddVertex, 15.42, 1.101, 0.52,
AddVertex, 21.45, 1.101, -11.1,
AddVertex, 15.73, 1.101, 0.69,
AddVertex, 21.73, 1.101, -10.95,
AddFace, 2, 3, 1, 0,
GenerateNormals,
LoadTexture, Rajola_PMR.png,,,
SetTextureCoordinates,3,0,0,
SetTextureCoordinates,1,0,1,
SetTextureCoordinates,2,40,0,
SetTextureCoordinates,0,40,1,
SetColor,150,150,150


;Sostre
CreateMeshBuilder,
AddVertex, 7.5430311, 1.1, 25,
AddVertex, 7.5430311, 2.2542135, 25,
AddVertex, 7.4749851, 2.6349873, 25,
AddVertex, 7.3240013, 3.0778187, 25,
AddVertex, 6.9344088, 3.8336474, 25,
AddVertex, 6.8684088, 3.8336474, 25,
AddVertex, 6.512396, 4.1536363, 25,
AddVertex, 6.1796339, 4.4396715, 25,
AddVertex, 5.822421, 4.6952488, 25,
AddVertex, 5.4480547, 4.9238662, 25,
AddVertex, 5.0638324, 5.1290195, 25,
AddVertex, 4.6770504, 5.3142067, 25,
AddVertex, 4.2950072, 5.4829236, 25,
AddVertex, 3.8258077, 5.6652024, 25,
AddVertex, 3.341569, 5.8207237, 25,
AddVertex, 2.8526597, 5.9515665, 25,
AddVertex, 2.3694451, 6.0598098, 25,
AddVertex, 1.9022927, 6.1475326, 25,
